support,itemsets
0.11836115326251896,"frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA', 'Google Metallic Notebook Set'})"
0.1418816388467375,"frozenset({'Google Twill Cap', 'Google Sunglasses'})"
0.11684370257966616,"frozenset({'Maze Pen', 'Google Sunglasses'})"
0.125948406676783,"frozenset({'Nest Cam IQ - USA', 'Google Sunglasses'})"
0.30576631259484066,"frozenset({'Nest Cam Indoor Security Camera - USA', 'Google Sunglasses'})"
0.30349013657056145,"frozenset({'Google Sunglasses', 'Nest Cam Outdoor Security Camera - USA'})"
0.11456752655538695,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Copper', 'Google Sunglasses'})"
0.3110773899848255,"frozenset({'Google Sunglasses', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.20409711684370258,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Google Sunglasses'})"
0.23596358118361152,"frozenset({'Nest Protect Smoke + CO White Battery Alarm-USA', 'Google Sunglasses'})"
0.21623672230652505,"frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA', 'Google Sunglasses'})"
0.11608497723823975,"frozenset({'Nest Thermostat E - USA', 'Google Sunglasses'})"
0.13125948406676782,"frozenset({'Sport Bag', 'Google Sunglasses'})"
0.125948406676783,"frozenset({'Google Sunglasses', 'Windup Android'})"
0.14036418816388468,"frozenset({'YouTube Custom Decals', 'Google Sunglasses'})"
0.11229135053110774,"frozenset({'Google Twill Cap', 'Nest Cam IQ - USA'})"
0.22534142640364188,"frozenset({'Google Twill Cap', 'Nest Cam Indoor Security Camera - USA'})"
0.22458270106221548,"frozenset({'Google Twill Cap', 'Nest Cam Outdoor Security Camera - USA'})"
0.2321699544764795,"frozenset({'Google Twill Cap', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.15553869499241274,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Google Twill Cap'})"
0.17071320182094082,"frozenset({'Google Twill Cap', 'Nest Protect Smoke + CO White Battery Alarm-USA'})"
0.15553869499241274,"frozenset({'Google Twill Cap', 'Nest Protect Smoke + CO White Wired Alarm-USA'})"
0.11532625189681335,"frozenset({'Google Twill Cap', 'Nest Thermostat E - USA'})"
0.11911987860394538,"frozenset({'Nest Cam Indoor Security Camera - USA', ""Google Women's Vintage Hero Tee Black""})"
0.11911987860394538,"frozenset({'Nest Cam Outdoor Security Camera - USA', ""Google Women's Vintage Hero Tee Black""})"
0.11911987860394538,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', ""Google Women's Vintage Hero Tee Black""})"
0.17905918057663125,"frozenset({'Maze Pen', 'Nest Cam Indoor Security Camera - USA'})"
0.17450682852807284,"frozenset({'Maze Pen', 'Nest Cam Outdoor Security Camera - USA'})"
0.17071320182094082,"frozenset({'Maze Pen', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.11305007587253414,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Maze Pen'})"
0.13429438543247343,"frozenset({'Maze Pen', 'Nest Protect Smoke + CO White Battery Alarm-USA'})"
0.1244309559939302,"frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA', 'Maze Pen'})"
0.21471927162367224,"frozenset({'Nest Cam IQ - USA', 'Nest Cam Indoor Security Camera - USA'})"
0.21547799696509864,"frozenset({'Nest Cam IQ - USA', 'Nest Cam Outdoor Security Camera - USA'})"
0.10091047040971168,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Copper', 'Nest Cam IQ - USA'})"
0.21320182094081944,"frozenset({'Nest Cam IQ - USA', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.17450682852807284,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Nest Cam IQ - USA'})"
0.1669195751138088,"frozenset({'Nest Cam IQ - USA', 'Nest Protect Smoke + CO White Battery Alarm-USA'})"
0.14946889226100152,"frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA', 'Nest Cam IQ - USA'})"
0.12063732928679818,"frozenset({'Nest Secure Alarm System Starter Pack - USA', 'Nest Cam IQ - USA'})"
0.1479514415781487,"frozenset({'Nest Thermostat E - USA', 'Nest Cam IQ - USA'})"
0.6009104704097117,"frozenset({'Nest Cam Indoor Security Camera - USA', 'Nest Cam Outdoor Security Camera - USA'})"
0.18664643399089528,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Copper', 'Nest Cam Indoor Security Camera - USA'})"
0.5849772382397572,"frozenset({'Nest Cam Indoor Security Camera - USA', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.3490136570561457,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Nest Cam Indoor Security Camera - USA'})"
0.40212443095599393,"frozenset({'Nest Protect Smoke + CO White Battery Alarm-USA', 'Nest Cam Indoor Security Camera - USA'})"
0.37860394537177544,"frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA', 'Nest Cam Indoor Security Camera - USA'})"
0.1661608497723824,"frozenset({'Nest Secure Alarm System Starter Pack - USA', 'Nest Cam Indoor Security Camera - USA'})"
0.21623672230652505,"frozenset({'Nest Thermostat E - USA', 'Nest Cam Indoor Security Camera - USA'})"
0.11684370257966616,"frozenset({'Recycled Paper Journal Set', 'Nest Cam Indoor Security Camera - USA'})"
0.15098634294385432,"frozenset({'Nest Cam Indoor Security Camera - USA', 'Red Shine 15 oz Mug'})"
0.18512898330804248,"frozenset({'Sport Bag', 'Nest Cam Indoor Security Camera - USA'})"
0.18437025796661607,"frozenset({'Nest Cam Indoor Security Camera - USA', 'Windup Android'})"
0.20485584218512898,"frozenset({'Nest Cam Indoor Security Camera - USA', 'YouTube Custom Decals'})"
0.17905918057663125,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Copper', 'Nest Cam Outdoor Security Camera - USA'})"
0.582701062215478,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', 'Nest Cam Outdoor Security Camera - USA'})"
0.34446130500758726,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Nest Cam Outdoor Security Camera - USA'})"
0.40819423368740515,"frozenset({'Nest Protect Smoke + CO White Battery Alarm-USA', 'Nest Cam Outdoor Security Camera - USA'})"
